ticker,group,date,close,r20,r60,r120,rs20,rs60,rs120,ema20,sma50,sma120,atr14,atr_pct,vol20_ann,dist_ema_atr,from_high120,high20_prev,breakout_trigger,pullback_low,pullback_high,stop_ref,stop_pct,adtv20,trend_aligned,rank20,w20,rank60,w60,rank120,w120,score,setup
EEM,International,2026-09-25,67.98,0.005472563230291438,0.022563176895306958,0.1965179802244703,0.002664566134404023,-0.014318992382807538,0.01997893052777089,67.34600074028658,66.12440000000001,65.78220602305834,1.097214285714286,0.016140251334426092,0.21534401085125052,0.577826289693892,-0.05016068184993694,69.23,69.33972142857144,66.79739359742945,67.89460788314372,64.74139285714287,-0.0476405875677719,1248298167.5309997,True,0.7605633802816901,0.22816901408450702,0.5774647887323944,0.23098591549295777,0.7887323943661971,0.23661971830985912,74.57746478873239,Pullback watch
EWY,International,2026-09-25,187.18,0.027671022290545855,0.00905660377358486,0.48626329998411943,0.02486302519465844,-0.027825565504529637,0.30972425028742,182.91694143685922,174.87320000000003,177.3324166666667,6.363749999999998,0.033998023293086856,0.46991815638342044,0.6698972403285468,-0.1526098963284892,193.93,194.566375,179.73506643685923,186.0988164368592,170.71812500000001,-0.0879467624746233,2340295625.2585,False,0.8450704225352113,0.2535211267605634,0.5070422535211268,0.2028169014084507,0.9436619718309859,0.28309859154929573,73.94366197183098,Pullback watch
VTI,Broad,2026-09-25,379.77,-0.002259412027428298,0.028434478836623533,0.17112668475396364,-0.005067409123315714,-0.008447690441490963,-0.005412364942735781,377.3884649340815,375.711,366.6677665912917,3.3811000000000155,0.008903020249098179,0.10862004287855165,0.7043669415037843,-0.013891517940257003,382.25,382.58811000000003,375.6979149340815,379.07901493408156,367.23945,-0.03299510229875979,1076040925.1699998,True,0.6901408450704225,0.20704225352112673,0.647887323943662,0.25915492957746483,0.7323943661971831,0.21971830985915494,73.59154929577466,Pullback watch
MTUM,Factor,2026-09-25,318.5,0.049017513361828025,-0.027300828741743666,0.2898996111510346,0.04620951626594061,-0.06418299801985816,0.11336056145433515,309.3017829549942,306.00248682642,304.09781709563333,5.160117836785702,0.016201311889437055,0.20072934828179795,1.7825594949466221,-0.07652826155289849,318.85,319.3660117836786,306.72172403660136,311.8818418733871,294.5304978286071,-0.07525746364644548,498381094.37474155,True,0.9154929577464789,0.27464788732394363,0.352112676056338,0.14084507042253522,0.8591549295774648,0.2577464788732394,72.32394366197182,Avoid / broken
QUAL,Factor,2026-09-25,223.59,-0.0023549024072206937,0.023763370582397858,0.1568848485757146,-0.005162899503108109,-0.013118798695716638,-0.019654201120984816,221.3499246742775,221.24123448320003,215.348335367725,1.9543177032142844,0.008740631080165859,0.10512905383686615,1.1462186122748763,-0.014292235972653389,224.826251093,225.02168286332142,220.37276582267037,222.32708352588463,215.33284114839287,-0.03692991122861988,206586371.60160425,True,0.676056338028169,0.20281690140845068,0.5915492957746479,0.23661971830985917,0.676056338028169,0.20281690140845068,69.22535211267605,Pullback watch
IWD,Factor,2026-09-25,251.93,-0.01835851645290909,0.036785358912095445,0.17099362955923403,-0.021166513548796506,-9.681036601905113e-05,-0.0055454201374653955,253.2869758261164,253.57693131798,242.44366530599999,1.9467093390000028,0.00772718349938476,0.09221692337550888,-0.6970613429190421,-0.028205490864995575,258.584453831,258.7791247649,252.3136211566164,254.2603304956164,248.88664533050002,-0.012080159844004235,386418461.49760723,False,0.5915492957746479,0.17746478873239435,0.6901408450704225,0.27605633802816903,0.7183098591549296,0.2154929577464789,66.90140845070422,Avoid / broken
EWZ,International,2026-09-25,36.82,0.029642058165548102,0.07723815096547693,-0.03554216991011783,0.026834061069660686,0.04035598168736243,-0.21208121960681725,37.23851033670661,36.2182,36.51125397275,0.8142857142857147,0.02211531000232794,0.23754377782850855,-0.513960062622153,-0.11541635478025947,39.1,39.181428571428576,36.83136747956375,37.64565319384947,36.00785714285714,-0.02205711181811132,965911559.5665001,False,0.8591549295774648,0.2577464788732394,0.8169014084507042,0.3267605633802817,0.16901408450704225,0.05070422535211267,66.52112676056339,Avoid / broken
DBA,RealAsset,2026-09-25,28.54,-0.009715475364330373,0.06254653760238282,0.04618768328445744,-0.012523472460217788,0.025664368324268327,-0.130351366412242,28.645266647271253,28.3254,27.736083333333333,0.2803357142857149,0.009822554810291343,0.13913620207270994,-0.3755020923376436,-0.033197831978319825,29.52,29.548033571428572,28.505098790128397,28.78543450441411,27.979832142857145,-0.019627465211732753,48068987.345,False,0.647887323943662,0.19436619718309858,0.7887323943661971,0.3154929577464789,0.4084507042253521,0.12253521126760564,66.2394366197183,Pullback watch
COPX,RealAsset,2026-09-25,86.73,-0.10077760497667188,0.15194580953645898,0.13431576070160967,-0.10358560207255929,0.11506364025834448,-0.04222328899508976,88.13696752659001,86.434,83.91113410404166,3.0289285714285725,0.034923654691900986,0.412984087307051,-0.4645099722263911,-0.11128189363664309,97.59,97.89289285714285,86.62250324087573,89.6514318123043,81.58553571428571,-0.05931585709344278,253660026.25899997,False,0.07042253521126761,0.02112676056338028,0.9154929577464789,0.36619718309859156,0.647887323943662,0.19436619718309858,61.16901408450704,Pullback watch
XLC,Sector,2026-09-25,112.96,0.017254985144058876,0.032735355339571726,0.016705052936426767,0.01444698804817146,-0.0041468139385427705,-0.15983399676027266,112.4606477548772,111.00051655672,112.17039125182501,1.883580923285712,0.016674760298209208,0.2247115023672083,0.2651079329534326,-0.04898764047083615,115.61,115.79835809232857,111.51885729323435,113.40243821652005,109.42936588735715,-0.03125561360342466,564594121.2205687,False,0.7887323943661971,0.23661971830985912,0.6619718309859155,0.26478873239436623,0.36619718309859156,0.10985915492957747,61.12676056338028,Pullback watch
